Species	AphisID	ImageLink	Group
Pleuromamma gracilis	104639	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B36%5D%2B1513252706.jpg	Copepoda
Campylaspis horridoides	110546		Malacostraca
Microdeutopus gryllotalpa	102048	https://www.aphotomarine.com/images/prawns_isopoda2/amphipoda_microdeutopus_gryllotalpa_05-10-18_1.jpg	Malacostraca
Pisidia longicornis	107188	https://www.meerwasser-lexikon.de/imgHaupt/55131_5a736c85378c6.jpg	Malacostraca
Diogenes pugilator	107199	https://www.meerwasser-lexikon.de/imgHaupt/25752_NJuh5JUSGB.jpg	Malacostraca
Trichocorixa verticalis	159993	https://content.eol.org/data/media/ac/15/de/539.BBPEC_09bbehe-078_1259941880_JPG.jpg	Hexapoda
Scyllarides latus	107708	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Scyllarides_latus.jpg/1280px-Scyllarides_latus.jpg	Malacostraca
Leptocheirus hirsutimanus	102036	https://www.researchgate.net/profile/Ton-Van-Haaren/publication/321868341/figure/fig4/AS:572575207170048@1513523975081/Leptocheirus-hirsutimanus-habitus-from-Cleaverbank-in-Dutch-Klaverbank.png	Malacostraca
Anapagurus bicorniger	107213	https://www.researchgate.net/profile/Cengiz-Kocak/publication/236876982/figure/fig3/AS:669100510560269@1536537401511/Anapagurus-bicorniger-CL-252-mm-A-Dorsal-aspect-B-Shield-and-associated.png	Malacostraca
Achelia echinata	134599	https://www.mer-littoral.org/24/photos/achelia-echinata-0m.jpg	Pycnogonida
Inachus phalangium	107333	https://www.meerwasser-lexikon.de/imgHaupt/23049_e3Pmv7XLzN.jpg	Malacostraca
Temora stylifera	104879	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Temora_stylifera_%28YPM_IZ_101459%29.jpeg/1024px-Temora_stylifera_%28YPM_IZ_101459%29.jpeg	Copepoda
Clibanarius erythropus	107196	https://www.meerwasser-lexikon.de/imgHaupt/4569_7aBbDySSFR.jpg	Malacostraca
Monacilla typica	104844		Copepoda
Acartia danae	104252	http://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Acartia_danae_female_0.5x8.jpg	Copepoda
Nannocalanus minor	104469	https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Nannocalanus_minor_%28YPM_IZ_101446%29_002.jpeg/1280px-Nannocalanus_minor_%28YPM_IZ_101446%29_002.jpeg	Copepoda
Ericthonius punctatus	102408	https://www.aphotomarine.com/images/prawns_isopoda/amphipod_ericthonius_punctatus_29-12-16_1.jpg	Malacostraca
Farranula rostrata	128814	http://www.intranet.biologia.ufrj.br/lizi/cat.zoo/Copepoda/Poecilostomatoida/Farranula-rostrata/vista-lateral.jpg	Copepoda
Dardanus arrosor	107197	https://www.meerwasser-lexikon.de/imgHaupt/25788_g3s9c5zkTz.jpg	Malacostraca
Liocarcinus navigator	107392	https://www.meerwasser-lexikon.de/imgHaupt/55250_5a872208e9676.jpg	Malacostraca
Palinurus elephas	107703	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Palinurus_vulgaris%2801%29.jpg/1024px-Palinurus_vulgaris%2801%29.jpg	Malacostraca
Harpinia ala	102958		Malacostraca
Paracartia latisetosa	104265		Copepoda
Pagurus excavatus	107236	https://www.cienciatk.csic.es/cienciatk_fotos/FO008960.jpg	Malacostraca
Cleantis prismatica	119038	https://www.aphotomarine.com/images/prawns_isopoda/isopoda_cleantis_prismatica_05-10-17_1.jpg	Malacostraca
Brachynotus sexdentatus	107450	https://ukrbin.com/files/88/IMG_9277.JPG	Malacostraca
Nannastacus unguiculatus	110574		Malacostraca
Pantala flavescens	865848	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Davidraju_IMG_5948.jpg/1280px-Davidraju_IMG_5948.jpg	Hexapoda
Stenosoma carinata	474858	https://www.researchgate.net/profile/Tuncer-Katagan/publication/45945583/figure/fig4/AS:306109672902658@1449993641221/Cyathura-carinata-Kroyer-1847-a-General-view-b-Head-and-1st-2nd-antennae-TL.png	Malacostraca
Elasmopus pocillimanus	102804		Malacostraca
Pisa tetraodon	107358	https://www.crustaceology.com/wp-content/uploads/325514.jpg	Malacostraca
Candacia longimana	104481		Copepoda
Sapphirina nigromaculata	129053	https://upload.wikimedia.org/wikipedia/commons/f/f5/BHL_-_Sapphirina_ovatolanceolata.jpg	Copepoda
Jaxea nocturna	107737		Malacostraca
Chondrochelia savignyi	880874	https://www.aphotomarine.com/images/tanaids/tanaid_chondrochelia_savignyi_19-05-22_1.jpg	Malacostraca
Normanion chevreuxi	102629		Malacostraca
Paguristes eremita	107200	https://www.meerwasser-lexikon.de/imgHaupt/29827_EFHkdBZzFr.jpg	Malacostraca
Periclimenes amethysteus	107627	https://www.meerwasser-lexikon.de/imgHaupt/27648_UZhJP256yy.jpg	Malacostraca
Pasiphaea sivado	107677	https://litoraldegranada.ugr.es/wp-content/uploads/2017/12/PC040207.jpg	Malacostraca
Calocalanus pavo	104669	https://upload.wikimedia.org/wikipedia/commons/3/3f/BHL_-_Calocalanus_pavo.jpg?20160327145640	Copepoda
Philocheras trispinosus	107562	https://www.beachexplorer.org/uploads/species/BEQ3E_SK_Dreidornige_Garnele_P.jpg	Malacostraca
Chthamalus montagui	106230	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Chthamalus_DSCN5273.JPG/800px-Chthamalus_DSCN5273.JPG	Thecostraca
Lissa chiragra	107336	https://www.stranypotapecske.cz/biologie/pic/lisachi1.jpg	Malacostraca
Procampylaspis armata	110581		Malacostraca
Monocorophium insidiosum	148592	https://invasions.si.edu/SpImages/Monocorophium%20insidiosum%20(Medium).jpg	Malacostraca
Dromia personata	107258	https://www.meerwasser-lexikon.de/imgHaupt/59150_5d62af85cdec6.jpg	Malacostraca
Abludomelita obtusata	102788	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Abludomelita_obtusata.jpg/1024px-Abludomelita_obtusata.jpg	Malacostraca
Chlorotocus crassicornis	107642	https://previews.agefotostock.com/previewimage/medibigoff/1685f3b878377813e73d883f58054e4a/c54-525940.jpg	Malacostraca
Eualus cranchii	156083	https://observation.org/media/photo/15170393.jpg	Malacostraca
Porcellana platycheles	107190	https://upload.wikimedia.org/wikipedia/commons/2/2c/Porcellana_platycheles_millport.jpg	Malacostraca
Aora spinicornis	102013	https://www.aphotomarine.com/images/prawns_isopoda2/amphipoda_aora_spinicornis_24-10-18_2.jpg	Malacostraca
Thia scutellata	107281	https://www.beachexplorer.org/uploads/species/BEQ3E_SK_Fingernagelkrabbe.jpg	Malacostraca
Upogebia deltaura	107739	https://www.mer-littoral.org/24/photos/upogebia-deltaura-0m.jpg	Malacostraca
Mesovelia vittigera	477163	https://inaturalist-open-data.s3.amazonaws.com/photos/94581318/large.jpg	Hexapoda
Bodotria scorpioides	110445	https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Bodotria_scorpioides_%28male%29.jpg/1024px-Bodotria_scorpioides_%28male%29.jpg	Malacostraca
Pereionotus testudo	102954	https://www.aphotomarine.com/images/prawns_isopoda/amphipoda_pereionotus_testudo_25-07-17_1.jpg	Malacostraca
Lysmata seticaudata	107528	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lysmata_seticaudata.jpg/1024px-Lysmata_seticaudata.jpg	Malacostraca
Aristaeomorpha foliacea	158326	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Fish4525_-_Flickr_-_NOAA_Photo_Library.jpg/1280px-Fish4525_-_Flickr_-_NOAA_Photo_Library.jpg	Malacostraca
Gnathia dentata	118990	https://www.aphotomarine.com/images/prawns_isopoda/isopoda_gnathia_dentata_25-02-14_1.jpg	Malacostraca
Lysianassa pilicornis	102610		Malacostraca
Pseudevadne tergestina	106278	https://nathistoc.bio.uci.edu/crustacea/Cladocera/Pseudevadne%20tergestina/B04%20Cladoceran1b.jpg	Branchiopoda
Meganyctiphanes norvegica	110690	https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Meganyctiphanes_norvegica.jpg/1024px-Meganyctiphanes_norvegica.jpg	Malacostraca
Idunella pirata	102478		Malacostraca
Pisa armata	107353	https://www.meerwasser-lexikon.de/imgHaupt/32784_T7FDEWS5tw.jpg	Malacostraca
Othomaera knudseni	236531		Malacostraca
Centropages chierchiae	104494	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000306/photos/T4000306-001__cpi150-0010__Centropages-chierchiae.jpg	Copepoda
Solenocera membranacea	107120	https://previews.agefotostock.com/previewimage/medibigoff/0b0908a8e7ffbda08642ad0d517db813/c54-525969.jpg	Malacostraca
Alpheus glaber	107477	https://www.marlin.ac.uk/assets/images/marlin/species/web/o_alpgla.jpg	Malacostraca
Parthenopoides massena	442300	https://litoraldegranada.ugr.es/wp-content/uploads/2019/03/mosaico-multifoco-cangrejo.jpg	Malacostraca
Microjassa cumbrensis	102439		Malacostraca
Ampithoe ramondi	102000	https://content.eol.org/data/media/99/32/f5/84.CalPhotos_4444_4444_0513_2997.jpg	Malacostraca
Achaeus gracilis	107314	http://imager.mnhn.fr/imager3/w400/media/1488527541678Zz8J92eivlk2TSlp	Malacostraca
