Species	AphisID	ImageLink	Group
Lumbrineriopsis paradoxa	130235		Polychaeta
Salvatoria clavata	195986	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Salvatoria_clavata_%28YPM_IZ_083022%29_002.jpeg/1024px-Salvatoria_clavata_%28YPM_IZ_083022%29_002.jpeg	Polychaeta
Pentapora ottomuelleriana	887010		Gymnolaemata
Ditrupa arietina	130987	https://www.beachexplorer.org/uploads/species/BEQ6E_LR_Ditrupa.jpg	Polychaeta
Harmothoe reticulata	130780		Polychaeta
Polycirrus denticulatus	131527	"https://zenodo.org/api/iiif/v2/6d7046c7-e91e-40a2-98c1-535c4d148e11:ae054395-bc86-40b7-9df8-8698a4fe5dad:figure.png/full/750,/0/default.png"	Polychaeta
Reteporella grimaldii	111453	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Neptunschleier.jpg/1024px-Neptunschleier.jpg	Gymnolaemata
Bispira melanostigma	333110	https://www.meerwasser-lexikon.de/imgHaupt/57740_5c78e78f1bd9b.jpg	Polychaeta
Leiochone leiopygos	559007	https://content.eol.org/data/media/af/c3/d7/539.LOBO_RR074_1341458696_jpg.jpg	Polychaeta
Caulleriella bioculata	129944		Polychaeta
Aricidea fragilis	130560	https://content.eol.org/data/media/ae/db/f7/539.HZPLY_BIOUG06647-E06_1373419112_jpg.jpg	Polychaeta
Harmothoe imbricata	130769	https://www.meerwasser-lexikon.de/imgHaupt/32359_V1MR1tYwR7.jpg	Polychaeta
Notomastus aberans	129894	https://v3.boldsystems.org/pics/HZPLY/Notomastus_aberans_J1-1-3-1%2B1638675736.jpg	Polychaeta
Glycera tesselata	130128	https://v3.boldsystems.org/pics/DEEP/PGC00020%2B1305759074.jpg	Polychaeta
Laetmonice hystrix	129845	https://www.stranypotapecske.cz/biologie/pic/laetmon2.jpg	Polychaeta
Beania hirtissima	111070		Gymnolaemata
Scoletoma funchalensis	130262		Polychaeta
Websterinereis glauca	130426		Polychaeta
Lepidasthenia grimaldii	333795	https://upload.wikimedia.org/wikipedia/commons/9/9d/Lepidoteuthis_grimaldii_617_mm_ML.jpg	Polychaeta
Schistomeringos neglecta	130044	https://pbs.twimg.com/media/DtKDyKCWkAAIC_Y?format=jpg&name=900x900	Polychaeta
Neoamphitrite affinis	131502	https://v3.boldsystems.org/pics/DEEP/CHEP0010%2B1311175270.jpg	Polychaeta
Pista cristata	131516	https://v3.boldsystems.org/pics/DEEP/PAS00004%2B1305925116.jpg	Polychaeta
Protodorvillea kefersteini	130041	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Protodorvillea_kefersteini1.jpg/1200px-Protodorvillea_kefersteini1.jpg?20171002203520	Polychaeta
Serpula vermicularis	131051	https://upload.wikimedia.org/wikipedia/commons/1/10/Serpula_vermicularis_2.jpg	Polychaeta
Lumbrineris latreilli	130248	https://v3.boldsystems.org/pics/CMBIA/00209Lumbreneris_latreilliVRRDorsal%2B1323113836.jpg	Polychaeta
Exogone naidina	327985	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Exogone_naidina.jpg/1200px-Exogone_naidina.jpg?20171007171756	Polychaeta
Eurysyllis tuberculata	131288	https://www.aphotomarine.com/images/marine_worms2/worm_eurysyllis_tuberculata_17-07-18_1.jpg	Polychaeta
Sabella discifera	130964	https://eunis.eea.europa.eu/images/species//50964/3930df01db7ea37fbd48395fb82f042c.jpg	Polychaeta
Haplosyllis spongicola	131321	https://www.researchgate.net/profile/Pablo-Hernandez-Alcantara/publication/272180909/figure/fig6/AS:669394183135253@1536607418826/Haplosyllis-spongicola-Grube-1855.png	Polychaeta
Lumbrineris labrofimbriata	130247		Polychaeta
Schizomavella auriculata	111091		Gymnolaemata
Diopatra neapolitana	130460	https://www.dicyt.com/data/43/38943.jpg	Polychaeta
Drieschia pelagica	327456		Polychaeta
Lysidice ninetta	130071	https://www.researchgate.net/profile/Maria-Cristina-Gambi/publication/250218571/figure/fig3/AS:393208870785026@1470759708606/Lysidice-ninetta-a-dark-morph-and-b-light-morph.png	Polychaeta
Chloeia venusta	129826	https://litoraldegranada.ugr.es/wp-content/uploads/2017/05/DSC_0111-copia.jpg	Polychaeta
Sabella pavonina	130967	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lpfauenr%C3%B6hrenwurm.jpg/1280px-Lpfauenr%C3%B6hrenwurm.jpg	Polychaeta
Prosphaerosyllis brevicirra	195977		Polychaeta
Lysidice unicornis	742232	https://www.aphotomarine.com/images/marine_worms/worm_lysidice_unicornis_19-03-15_5.jpg	Polychaeta
Schistomeringos rudolphi	154127	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Schistomeringos_rudolphii_%28YPM_IZ_100176%29.jpeg/1024px-Schistomeringos_rudolphii_%28YPM_IZ_100176%29.jpeg	Polychaeta
Lygdamis muratus	130861		Polychaeta
Prionospio steenstrupi	131164	https://serv.biokic.asu.edu/imglib/invertebase/UF/00007/54d10e1f-d1ed-41e0-98da-c783cb_1587784365_web.jpg	Polychaeta
Vanadis crystallina	129764		Polychaeta
Naiades cantrainii	129753		Polychaeta
