code	|	taxid	|	primary taxid	|	taxname
1	|	7740	|	7740	|	Branchiostoma lanceolatum
1	|	7781	|	7781	|	Raja clavata
1	|	7830	|	7830	|	Scyliorhinus canicula
1	|	7871	|	7871	|	Chimaera monstrosa
1	|	8063	|	8063	|	Merluccius merluccius
1	|	8074	|	8074	|	Lophius piscatorius
1	|	8173	|	8173	|	Pagrus pagrus
1	|	8226	|	8226	|	Katsuwonus pelamis
1	|	8245	|	8245	|	Xiphias gladius
1	|	8467	|	8467	|	Caretta caretta
1	|	9728	|	9728	|	Delphinus delphis
1	|	9731	|	9731	|	Globicephala melas
1	|	9737	|	9737	|	Stenella coeruleoalba
1	|	9755	|	9755	|	Physeter catodon
1	|	9760	|	9760	|	Ziphius cavirostris
1	|	9767	|	9767	|	Balaenoptera acutorostrata
1	|	9770	|	9770	|	Balaenoptera physalus
1	|	13676	|	13676	|	Scomber japonicus
1	|	13692	|	13692	|	Sphyraena sphyraena
1	|	13719	|	13719	|	Kajikia albida
1	|	13765	|	13765	|	Xyrichtys novacula
1	|	27588	|	27588	|	Raja montagui
1	|	28829	|	28829	|	Solea senegalensis
1	|	30301	|	30301	|	Botryllus schlosseri
1	|	36212	|	36212	|	Trachurus trachurus
1	|	36219	|	36219	|	Boops boops
1	|	37007	|	37007	|	Mullus barbatus
1	|	38241	|	38241	|	Globicephala macrorhynchus
1	|	38561	|	38561	|	Ascidia mentula
1	|	41447	|	41447	|	Seriola dumerili
1	|	46662	|	46662	|	Muraena helena
1	|	48444	|	48444	|	Cyclothone braueri
1	|	48744	|	48744	|	Hyperoodon ampullatus
1	|	50593	|	50593	|	Pagellus erythrinus
1	|	50595	|	50595	|	Spondyliosoma cantharus
1	|	56723	|	56723	|	Labrus bergylta
1	|	56737	|	56737	|	Trachinus draco
1	|	57862	|	57862	|	Tripterygion delaisi
1	|	59560	|	59560	|	Phallusia mammillata
1	|	63415	|	63415	|	Pagrus auriga
1	|	68509	|	68509	|	Chauliodus sloani
1	|	71160	|	71160	|	Lampanyctus crocodilus
1	|	75026	|	75026	|	Luvarus imperialis
1	|	77914	|	77914	|	Galeus melastomus
1	|	80722	|	80722	|	Trisopterus minutus
1	|	81392	|	81392	|	Synodus saurus
1	|	81636	|	81636	|	Micromesistius poutassou
1	|	82174	|	82174	|	Pseudorca crassidens
1	|	82655	|	82655	|	Conger conger
1	|	83653	|	83653	|	Grampus griseus
1	|	85415	|	85415	|	Gobius auratus
1	|	85416	|	85416	|	Gobius bucchichi
1	|	87756	|	87756	|	Diplodus vulgaris
1	|	87757	|	87757	|	Mullus surmuletus
1	|	89987	|	89987	|	Hygophum benoiti
1	|	90073	|	90073	|	Microchirus ocellatus
1	|	90074	|	90074	|	Microchirus variegatus
1	|	90076	|	90076	|	Monochirus hispidus
1	|	91607	|	91607	|	Chromis chromis
1	|	94237	|	94237	|	Mola mola
