Species	AphisID	ImageLink	Group
Pseudodistoma cyrnusense	103679	https://www.meerwasser-lexikon.de/imgHaupt/42313_bBKqLXCa9b.jpg	Ascidiacea
Monochirus hispidus	127155	https://www.fishbase.se/images/species/Mohis_u1.jpg	Actinopteri
Balaenoptera physalus	137091	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Finhval_%281%29.jpg/450px-Finhval_%281%29.jpg	Mammalia
Scorpaena laevis	127243	https://www.fishbase.se/images/species/Sclae_u1.jpg	Actinopteri
Botryllus schlosseri	103862	https://upload.wikimedia.org/wikipedia/commons/2/24/Botryllus_schlosseri.jpg	Ascidiacea
Mullus surmuletus	126986	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Mullus_surmuletus.jpg/450px-Mullus_surmuletus.jpg	Actinopteri
Seriola fasciata	126817	https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Seriola_fasciata.jpg/1200px-Seriola_fasciata.jpg?20220312022605	Actinopteri
Chelidonichthys lastoviza	127261	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Chelidonichthys_lastoviza2.jpg/450px-Chelidonichthys_lastoviza2.jpg	Actinopteri
Scomberesox saurus	126392	https://adriaticnature.com/wp-content/uploads/2016/01/Scomberesox-saurus.jpg	Actinopteri
Tripterygion tartessicum	274027	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tripterygion_tartessicum_head.jpg/330px-Tripterygion_tartessicum_head.jpg	Actinopteri
Etmopterus spinax	105913	https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Etmopterus_spinax_Sardinia.jpg/450px-Etmopterus_spinax_Sardinia.jpg	Elasmobranchii
Clavelina lepadiformis	103552	https://www.meerwasser-lexikon.de/imgHaupt/54565_5a1b169903a5c.jpg	Ascidiacea
Scartella cristata	126782	https://cdn2.reefapp.net/medium/scartella-cristata-d0a5053a08214b228b5ffa5490e78594.webp	Actinopteri
Trigla lyra	127266	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Trigla_lyra.jpg/450px-Trigla_lyra.jpg	Actinopteri
Serranus scriba	127043	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Serranus_scriba_Koufonissi.png/450px-Serranus_scriba_Koufonissi.png	Actinopteri
Distomus variolosus	103890	https://inaturalist-open-data.s3.amazonaws.com/photos/61680973/large.jpg	Ascidiacea
Labrus merula	126967	https://www.meerwasser-lexikon.de/imgHaupt/26347_snu1vn29tC.jpg	Actinopteri
Spondyliosoma cantharus	127066	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Spondyliosoma_cantharus.jpg/450px-Spondyliosoma_cantharus.jpg	Actinopteri
Synodus saurus	126372	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Synodus_saurus1.JPG/450px-Synodus_saurus1.JPG	Actinopteri
Tripterygion tripteronotum	712817	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Tripterygion_tripteronotus_Rab_2.JPG/450px-Tripterygion_tripteronotus_Rab_2.JPG	Actinopteri
Callanthias ruber	126789	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/ShikishimaHD.jpg/450px-ShikishimaHD.jpg	Actinopteri
Clavelina dellavallei	103551	https://www.mer-littoral.org/32/photos/clavelina-dellavallei-1p.jpg	Ascidiacea
Dentex dentex	273962	https://upload.wikimedia.org/wikipedia/commons/d/d1/Sparidae_-_Dentex_dentex.JPG	Actinopteri
Polycitor adriaticus	103625	https://www.meerwasser-lexikon.de/imgHaupt/27799_9s7x4U37TR.jpg	Ascidiacea
Pagrus auriga	127061	https://www.fishbase.se/images/species/Paaur_f0.jpg	Actinopteri
Xyrichtys novacula	126971	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Labridae_-_Xyrichtys_novacula.JPG/450px-Labridae_-_Xyrichtys_novacula.JPG	Actinopteri
Lepidotrigla cavillone	127264	https://upload.wikimedia.org/wikipedia/commons/d/d3/Gro%C3%9Fschuppen-Knurrhahn.jpg	Actinopteri
Trachurus trachurus	126822	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Atlantic_Horse_Mackerel.jpg/450px-Atlantic_Horse_Mackerel.jpg	Actinopteri
Lepidopus caudatus	127088	https://www.fishbase.se/images/species/Lecau_u2.jpg	Actinopteri
Symphodus doderleini	273568	https://www.fishbase.se/images/species/Sydod_u0.jpg	Actinopteri
Hoplostethus mediterraneus	126404	https://www.fishbase.se/images/species/Homed_u2.jpg	Actinopteri
Conger conger	126285	https://www.fischlexikon.eu/images/fischlexikon/galerie/optionale-pics/conger-02.jpg	Actinopteri
Molva dypterygia	126459	https://www.fishbase.se/images/species/Modyp_u2.jpg	Actinopteri
Pagellus acarne	127057	https://www.fishbase.se/images/species/Paaca_j0.jpg	Actinopteri
Dentex gibbosus	273964	https://www.meerwasser-lexikon.de/imgHaupt/40942_L9CU38cMLm.jpg	Actinopteri
Scorpaena porcus	127247	https://www.meerwasser-lexikon.de/imgHaupt/39921_mgaPz221AJ.jpg	Actinopteri
Plectorhinchus mediterraneus	126946	https://adriaticnature.com/wp-content/uploads/2016/02/Plectorhinchus-mediterraneus.jpg	Actinopteri
Nettastoma melanurum	126308	https://biogeodb.stri.si.edu/caribbean/resources/img/images/species/2904_13327.jpg	Actinopteri
Thalassoma quinquevittatum	212211	https://www.meerwasser-lexikon.de/imgHaupt/70227_618f8030bca67.jpg	Actinopteri
Nezumia aequalis	126473	https://images.marinespecies.org/thumbs/129825_nezumia-aequalis.jpg?w=700	Actinopteri
Gobius xanthocephalus	126897	https://www.mer-littoral.org/34/photos/gobius-xanthocephalus-0m.jpg	Actinopteri
Diplodus vulgaris	127054	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Diplodus_vulgaris.jpg/300px-Diplodus_vulgaris.jpg	Actinopteri
Lophius piscatorius	126555	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Seeteufel.jpg/450px-Seeteufel.jpg	Actinopteri
Capros aper	127419	https://www.monaconatureencyclopedia.com/wp-content/uploads/2008/08/jpg_Il_Capros_aper_ha_grandi_occhi_perche_vive_fra_i_40_ed_i_700_m_di_prondita_c_Giuseppe_Mazza.jpg	Actinopteri
Chauliodus sloani	127338	https://www.fishbase.se/images/species/Chslo_u3.jpg	Actinopteri
Raja clavata	105883	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Raja_clavata_%28juv%29.jpg/450px-Raja_clavata_%28juv%29.jpg	Elasmobranchii
Epinephelus costae	127034	https://adriaticnature.com/wp-content/uploads/2016/02/Epinephelus-costae-2.jpg	Actinopteri
Seriola dumerili	126816	https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Seriola_dumerili_by_NPS.jpg/450px-Seriola_dumerili_by_NPS.jpg	Actinopteri
Synodus synodus	126373	https://www.meerwasser-lexikon.de/imgHaupt/39946_mG8GtkqtMr.jpg	Actinopteri
Gadella maraldi	126488	https://www.fishbase.se/images/species/Gamar_u1.jpg	Actinopteri
Parablennius pilicornis	126773	https://www.fishbase.se/images/species/Papil_u2.jpg	Actinopteri
Stromateus fiatola	127076	https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stromateus_fiatola.jpg/450px-Stromateus_fiatola.jpg	Actinopteri
Microchirus ocellatus	274302	https://www.meerwasser-lexikon.de/imgHaupt/20356_S3DUdmcfKa.jpg	Actinopteri
Pagellus erythrinus	127060	https://upload.wikimedia.org/wikipedia/commons/9/9c/Pagellus_erythrinus_RO.jpg	Actinopteri
Epinephelus caninus	127033	https://www.fishbase.se/images/species/Epcan_u0.jpg	Actinopteri
Cepola macrophthalma	126835	https://www.meerwasser-lexikon.de/imgHaupt/18530_NYeEWqgd78.jpg	Actinopteri
Lampanyctus crocodilus	126612	https://adriaticnature.com/wp-content/uploads/2015/12/Lampanyctus-crocodilus-2.jpg	Actinopteri
