Species	AphisID	ImageLink	Group
Centrostephanus longispinus	124331	https://www.meerwasser-lexikon.de/imgHaupt/38148_D7556uG7d8.jpg	Echinodermata
Carybdea marsupialis	135279	https://upload.wikimedia.org/wikipedia/commons/6/62/Carybdea_marsupialis_screenshot_6.png	Cnidaria
Plumularia obliqua	117823	https://cnidaria.myspecies.info/sites/cnidaria.myspecies.info/files/styles/large/public/monotheca_obliqua.gif?itok=iW5KUfM3	Cnidaria
Astropecten irregularis	123867	https://upload.wikimedia.org/wikipedia/commons/a/ac/Astropecten_irregularis_pentacanthus_Sardegna09_17cm_5962.jpg	Echinodermata
Alcyonium palmatum	125334	https://www.meerwasser-lexikon.de/imgHaupt/31324_R25p15gnVt.jpg	Cnidaria
Leptopsammia pruvoti	135193	https://www.meerwasser-lexikon.de/imgHaupt/50998_5892d544e0de1.jpg	Cnidaria
Oestergrenia digitata	152547	https://images.marinespecies.org/thumbs/110361_oestergrenia-digitata.jpg?w=700	Echinodermata
Spatangus purpureus	124418	https://www.meerwasser-lexikon.de/imgHaupt/27000_3SfXJnD4MW.jpg	Echinodermata
Echinaster sepositus	241001	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Echinaster_sepositus_Linosa_092.jpg/1024px-Echinaster_sepositus_Linosa_092.jpg	Echinodermata
Muggiaea atlantica	135441	https://inverts.wallawalla.edu/Cnidaria/Class-Hydrozoa/Chondrophores-Siphonophores/Muggiaea_atlantica_DLC-2014-02s.jpg	Cnidaria
Phyllangia americana	346430	https://www.meerwasser-lexikon.de/imgHaupt/43880_6pgC4yvRYH.jpg	Cnidaria
Solmundella bitentaculata	117267	https://images.marinespecies.org/thumbs/134830_solmundella-bitentaculata-medusa-from-florida-western-atlantic.jpg?w=700	Cnidaria
Chrysaora hysoscella	135304	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Medusa-acquario_di_Genova.jpg/1280px-Medusa-acquario_di_Genova.jpg	Cnidaria
Ophioconis forbesi	124818	https://upload.wikimedia.org/wikipedia/commons/6/6e/Ophioconis_vivipara_%28MNHN-IE-2013-10325%29_01.jpg	Echinodermata
Calliactis parasitica	100946	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Dardanus_pedunculatus_%28Hermit_crab%29.jpg/1024px-Dardanus_pedunculatus_%28Hermit_crab%29.jpg	Cnidaria
Oculina patagonica	135210	https://www.meerwasser-lexikon.de/imgHaupt/37348_ze5q6dWvbA.jpg	Cnidaria
Physalia physalis	135479	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Portuguese_Man-O-War_%28Physalia_physalis%29.jpg/800px-Portuguese_Man-O-War_%28Physalia_physalis%29.jpg	Cnidaria
Ophiura ophiura	124929	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Gew%C3%B6hnlicherSchlangenstern.jpg/800px-Gew%C3%B6hnlicherSchlangenstern.jpg	Echinodermata
Eunicella verrucosa	125366	https://www.meerwasser-lexikon.de/imgHaupt/37185_nKKXGCPXAC.jpg	Cnidaria
Caryophyllia smithii	1288958	https://www.meerwasser-lexikon.de/imgHaupt/40135_vbqJttgwUB.jpg	Cnidaria
Paramuricea clavata	125387	https://www.meerwasser-lexikon.de/imgHaupt/70134_6186d39741b38.jpg	Cnidaria
Astropecten aranciacus	123856	https://upload.wikimedia.org/wikipedia/commons/c/c4/Astropecten_aranciacus_Sardegna09_28cm_5520.jpg	Echinodermata
Caryophyllia inornata	1450184	https://www.meerwasser-lexikon.de/imgHaupt/66431_601aad63d9f85.jpg	Cnidaria
Arbacia lixula	124249	https://www.meerwasser-lexikon.de/imgHaupt/26221_6uHbyN5Y7R.jpg	Echinodermata
Aglaophenia pluma	117283	https://www.meerwasser-lexikon.de/imgHaupt/27613_cdRNq9EazR.jpg	Cnidaria
Eunicella singularis	125365	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Eunicella_singularis_%28Esper%2C_1794%29_2.jpg/1280px-Eunicella_singularis_%28Esper%2C_1794%29_2.jpg	Cnidaria
Brissus unicolor	124380	https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Brissus_Unicolor_test_from_Antiparos%2C_Greece.jpg/800px-Brissus_Unicolor_test_from_Antiparos%2C_Greece.jpg	Echinodermata
Paranemonia cinerea	100830	https://www.einrichtungsbeispiele.de/catimages/800/paranemonia-cinerea-slnk.html.jpg	Cnidaria
Hoplangia durotrix	135160	https://www.meerwasser-lexikon.de/imgHaupt/43772_w5Rc5wCXGD.jpg	Cnidaria
Psammechinus microtuberculatus	124318	https://upload.wikimedia.org/wikipedia/commons/e/ec/Psammechinus_microtuberculatus.jpg	Echinodermata
Velella velella	117832	https://upload.wikimedia.org/wikipedia/commons/d/d2/Velelle.png	Cnidaria
Ophiothrix fragilis	125131	https://upload.wikimedia.org/wikipedia/commons/1/19/Ophiothrix-fragilis_4338.jpg	Echinodermata
Holothuria tubulosa	732401	https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Holothuria_tubulosa_Banyuls.jpg/1024px-Holothuria_tubulosa_Banyuls.jpg	Echinodermata
Paracentrotus lividus	124316	https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Ocean%C3%A1rio_de_Lisboa_%2810%29_-_Mar_2010.jpg/1024px-Ocean%C3%A1rio_de_Lisboa_%2810%29_-_Mar_2010.jpg	Echinodermata
Porpita porpita	117831	https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Porpita_porpita.jpg/800px-Porpita_porpita.jpg	Cnidaria
