Species	AphisID	ImageLink	Group
Polititapes rhomboides	745846	https://images.marinespecies.org/thumbs/68428_polititapes-rhomboides.jpg?w=700	Bivalvia
Ircinia variabilis	132362	https://www.meerwasser-lexikon.de/imgHaupt/68720_60ae6d1597bd3.jpg	Demospongiae
Raphitoma bicolor	248257	https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Raphitoma_bicolor_%28MNHN-IM-2000-2820%29.jpeg/1280px-Raphitoma_bicolor_%28MNHN-IM-2000-2820%29.jpeg	Gastropoda
Acanthocardia echinata	138992	https://upload.wikimedia.org/wikipedia/commons/9/9f/Acanthocardia_echinata.jpg	Bivalvia
Retusa mammillata	141131	http://www.idscaro.net/sci/04_med/pictures/fam3/retusa_mammillata1.jpg	Gastropoda
Fusinus rudis	139932	http://www.animalbase.uni-goettingen.de/animalbaseimage/Fusinus-rudis_01.jpg	Gastropoda
Thyasira flexuosa	141662	https://images.marinespecies.org/thumbs/68941_thyasira-flexuosa.jpg?w=700	Bivalvia
Lucinella divaricata	140282	https://images.marinespecies.org/thumbs/67308_lucinella-divaricata.jpg?w=700	Bivalvia
Dosinia exoleta	141911	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Dosinia_exoleta.jpg/1024px-Dosinia_exoleta.jpg	Bivalvia
Melarhaphe neritoides	140266	https://www.beachexplorer.org/uploads/species/BEQ3E_SC_Kleine_Strandschnecke.jpg	Gastropoda
Antalis vulgaris	196380	https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Antalis_vulgaris.jpg/1280px-Antalis_vulgaris.jpg	Scaphopoda
Octopus vulgaris	140605	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Octopus_vulgaris2.jpg/1280px-Octopus_vulgaris2.jpg	Cephalopoda
Naria spurca	1075013	https://www.meerwasser-lexikon.de/imgHaupt/51368_58aded772af44.jpg	Gastropoda
Leucosolenia botryoides	132216	https://www.meerwasser-lexikon.de/imgHaupt/29134_Hm2hFy4wdg.jpg	Calcarea
Monophorus perversus	141720	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Monophorus_perversus_01.jpg/800px-Monophorus_perversus_01.jpg	Gastropoda
Scutopus robustus	140249	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Scutopus_robustus.jpg/1024px-Scutopus_robustus.jpg	Caudofoveata
Spirastrella cunctatrix	134235	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Spirastrella_cunctatrix_Linosa_Archi_044.jpg/1024px-Spirastrella_cunctatrix_Linosa_Archi_044.jpg	Demospongiae
Semicassis saburon	509237	https://images.marinespecies.org/thumbs/51834_semicassis-saburon.jpg?w=700	Gastropoda
Jujubinus exasperatus	141807	https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Jujubinus_exasperatus_01.JPG/1280px-Jujubinus_exasperatus_01.JPG	Gastropoda
Troschelia berniciensis	138930	https://images.marinespecies.org/thumbs/52042_troschelia-berniciensis.jpg?w=700	Gastropoda
Acanthocardia aculeata	138990	https://upload.wikimedia.org/wikipedia/commons/f/fb/Acanthocardia_aculeata.jpg	Bivalvia
Calyptraea chinensis	138961	https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Calyptraea_chinensis_01.jpg/1280px-Calyptraea_chinensis_01.jpg	Gastropoda
Crisilla semistriata	141280	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Crisilla_semistriata_01.jpg/1024px-Crisilla_semistriata_01.jpg	Gastropoda
Fustiaria rubescens	139999	https://www.meerwasser-lexikon.de/imgHaupt/29573_2sBPYEY8Ch.jpg	Scaphopoda
